frame_no,queue_density,dynamic_density
4341,0.658478,0.710241
4346,0.665586,0.722026
4351,0.662406,0.732503
4356,0.648094,0.733364
4361,0.640377,0.696723
4366,0.63119,0.657414
4371,0.62667,0.609768
4376,0.620722,0.625396
4381,0.623103,0.498889
4386,0.616995,0.553074
4391,0.591979,0.595939
4396,0.561531,0.602026
4401,0.536543,0.535649
4406,0.520351,0.52365
4411,0.522415,0.60265
4416,0.553102,0.564209
4421,0.567576,0.631392
4426,0.550386,0.644791
4431,0.527193,0.630034
4436,0.509567,0.468516
4441,0.51413,0.578597
4446,0.53686,0.611607
4451,0.540061,0.645263
4456,0.531786,0.624918
4461,0.539959,0.60837
4466,0.561736,0.540051
4471,0.571103,0.571278
4476,0.548889,0.367317
4481,0.516343,0.501696
4486,0.494178,0.581852
4491,0.497886,0.568006
4496,0.53584,0.564921
4501,0.578396,0.448773
4506,0.647314,0.519955
4511,0.701245,0.644971
4516,0.740283,0.611007
4521,0.775797,0.539793
4526,0.830422,0.562224
4531,0.850805,0.599302
4536,0.84593,0.604605
4541,0.82513,0.547095
4546,0.82125,0.575696
4551,0.814355,0.632352
4556,0.728394,0.620782
4561,0.642798,0.66183
4566,0.59583,0.417606
4571,0.600272,0.578736
4576,0.581406,0.652201
4581,0.563051,0.332022
4586,0.551378,0.62592
4591,0.588644,0.609177
4596,0.586614,0.5369
4601,0.584414,0.54892
4606,0.570319,0.470319
4611,0.548727,0.458132
4616,0.529013,0.53144
4621,0.452129,0.465565
4626,0.42865,0.444586
4631,0.433109,0.502321
4636,0.473981,0.539883
4641,0.499588,0.569997
4646,0.511727,0.513946
4651,0.535715,0.516976
4656,0.506132,0.430223
4661,0.484735,0.486274
4666,0.482647,0.479706
4671,0.419358,0.376651
4676,0.35387,0.391069
4681,0.313738,0.406037
4686,0.311875,0.342248
4691,0.31637,0.39764
4696,0.316484,0.41111
4701,0.316259,0.410253
4706,0.336864,0.496269
4711,0.37589,0.504561
4716,0.434512,0.520542
4721,0.438043,0.490629
4726,0.437793,0.548741
4731,0.433178,0.535593
4736,0.408638,0.484657
4741,0.375858,0.398921
4746,0.324898,0.327189
4751,0.289702,0.399666
4756,0.255908,0.37455
4761,0.209426,0.383166
4766,0.17716,0.32282
4771,0.145145,0.290195
4776,0.0973197,0.272329
