time_sec,queue_density,dynamic_density
116.733,0.444827,0.564992
117.067,0.430668,0.548272
117.4,0.42372,0.547674
117.733,0.430458,0.595174
118.067,0.445243,0.567897
118.4,0.434789,0.560556
118.733,0.419393,0.408464
119.067,0.394194,0.311828
119.4,0.377418,0.438384
119.733,0.365096,0.512301
120.067,0.366789,0.566255
120.4,0.357514,0.55933
120.733,0.351898,0.56439
121.067,0.347652,0.551124
121.4,0.340334,0.532085
121.733,0.323077,0.500357
122.067,0.289308,0.47472
122.4,0.274424,0.481461
122.733,0.249244,0.42652
123.067,0.227571,0.374681
123.4,0.206028,0.34145
123.733,0.189026,0.267404
124.067,0.17092,0.291448
124.4,0.171099,0.263265
124.733,0.190806,0.31851
125.067,0.223835,0.38905
125.4,0.258498,0.37248
125.733,0.287658,0.389654
126.067,0.309336,0.491925
126.4,0.328556,0.519942
126.733,0.378574,0.542459
127.067,0.398033,0.489255
127.4,0.390994,0.501241
127.733,0.373226,0.456553
128.067,0.35014,0.44705
128.4,0.334775,0.410829
128.733,0.291703,0.316067
129.067,0.283946,0.27673
129.4,0.272761,0.276247
129.733,0.226271,0.275397
130.067,0.185028,0.201134
130.4,0.138562,0.169883
130.733,0.0966508,0.128949
131.067,0.0612044,0.0720912
131.4,0.0311232,0.0485052
131.733,0.0144375,0.0316885
132.067,0.0128526,0.0484287
132.4,0.0123195,0.0209742
132.733,0.0113675,0.0247556
133.067,0.0207622,0.0357456
133.4,0.0722436,0.0747616
133.733,0.140898,0.13582
134.067,0.20527,0.172026
134.4,0.245866,0.237537
134.733,0.286081,0.336074
135.067,0.330501,0.328425
135.4,0.336817,0.323057
135.733,0.296893,0.273889
136.067,0.258869,0.297169
136.4,0.234313,0.295704
136.733,0.196373,0.257503
137.067,0.149313,0.214851
137.4,0.105187,0.177688
137.733,0.0795978,0.105621
138.067,0.0564433,0.117589
138.4,0.0318489,0.036138
138.733,0.018153,0.0421337
139.067,0.017021,0.0350083
139.4,0.0184639,0.035835
139.733,0.0336057,0.0532009
140.067,0.0633508,0.0696604
140.4,0.103334,0.0998828
140.733,0.152317,0.0945571
141.067,0.200126,0.148255
141.4,0.254187,0.165688
141.733,0.315688,0.202064
142.067,0.335717,0.2255
142.4,0.345216,0.269421
142.733,0.343928,0.253214
143.067,0.332038,0.290271
143.4,0.3001,0.304566
143.733,0.30152,0.260235
144.067,0.302825,0.251491
144.4,0.289713,0.274407
144.733,0.254097,0.171979
145.067,0.195229,0.348628
145.4,0.146048,0.242738
145.733,0.100651,0.161509
146.067,0.0590326,0.113327
146.4,0.0316974,0.0640437
146.733,0.0169415,0.0468452
147.067,0.00862629,0.030804
147.4,0.00240748,0.0200626
147.733,0.00250403,0.0136727
148.067,0.00331667,0.0198521
148.4,0.00356763,0.0105464
148.733,0.00468691,0.0226558
149.067,0.00622817,0.0290352
149.4,0.0067617,0.0325045
149.733,0.00809284,0.0447409
150.067,0.00953727,0.0427405
150.4,0.00942951,0.0512674
150.733,0.0142583,0.0648924
151.067,0.0400731,0.107245
151.4,0.0576899,0.147801
151.733,0.0682783,0.167548
152.067,0.075216,0.162135
152.4,0.079366,0.164615
152.733,0.0822541,0.186589
153.067,0.0932422,0.183183
153.4,0.100345,0.190104
153.733,0.105855,0.221773
154.067,0.0903061,0.194955
154.4,0.0706972,0.174126
154.733,0.0570828,0.159814
155.067,0.0521535,0.148588
155.4,0.0385862,0.100272
155.733,0.0283535,0.0887712
156.067,0.0223319,0.0896627
156.4,0.0177564,0.0692406
156.733,0.0151226,0.0662876
157.067,0.011722,0.0582546
157.4,0.0139289,0.0558291
157.733,0.0149803,0.0538836
158.067,0.0157139,0.0542065
158.4,0.0149858,0.05843
158.733,0.0388971,0.0771231
159.067,0.0605419,0.0987511
159.4,0.0690207,0.107941
159.733,0.0707414,0.171355
160.067,0.0777172,0.14472
160.4,0.0820307,0.124627
160.733,0.0671826,0.134317
161.067,0.050151,0.122575
161.4,0.0240323,0.0542269
161.733,0.00400312,0.0190775
162.067,0.0261886,0.0359498
162.4,0.0345512,0.0658927
162.733,0.0426513,0.0950469
163.067,0.0486861,0.0880711
163.4,0.0520249,0.12421
163.733,0.0595293,0.128372
164.067,0.0483923,0.0835438
164.4,0.027286,0.0609129
164.733,0.0157419,0.0469396
165.067,0.00886584,0.0398056
165.4,0.0121814,0.0472159
165.733,0.0147655,0.049679
166.067,0.0163722,0.052225
166.4,0.0184215,0.046168
166.733,0.0210683,0.066725
167.067,0.0381825,0.0694168
167.4,0.0529536,0.109245
167.733,0.0557464,0.143366
168.067,0.062896,0.13068
168.4,0.070591,0.145933
168.733,0.0764515,0.172255
169.067,0.0837365,0.187438
169.4,0.0865969,0.201988
169.733,0.0828302,0.259025
170.067,0.070694,0.171111
170.4,0.0448831,0.0900331
170.733,0.0146631,0.0250684
171.067,0.00343351,0.0141318
171.4,0.000798117,0.00610934
171.733,0.000675837,0.0891685
172.067,0.000772914,0.143755
172.4,0.000602574,0.0741087
172.733,0.000588887,0.0810424
173.067,0.000548603,0.0789752
173.4,0.000807778,0.0758049
173.733,0.000839533,0.160251
174.067,0.000852252,0.10167
174.4,0.000743459,0.0641157
174.733,0.0119185,0.0143452
175.067,0.0266374,0.0438922
175.4,0.032682,0.0685921
175.733,0.068367,0.12111
176.067,0.108985,0.182119
176.4,0.138866,0.272371
176.733,0.160424,0.287163
177.067,0.179631,0.345822
177.4,0.178564,0.334459
177.733,0.171967,0.381991
178.067,0.178355,0.333602
178.4,0.172197,0.296172
178.733,0.144374,0.27393
179.067,0.136446,0.225653
179.4,0.115185,0.171957
179.733,0.0909315,0.114211
180.067,0.0665724,0.116923
180.4,0.0519618,0.0972974
180.733,0.0547414,0.0888064
181.067,0.0521669,0.0886436
181.4,0.0545139,0.0840447
181.733,0.072551,0.0976892
182.067,0.0848535,0.103551
182.4,0.0920917,0.110879
182.733,0.0971617,0.0963622
183.067,0.103527,0.104367
183.4,0.107018,0.103128
183.733,0.109983,0.132591
184.067,0.113171,0.143547
184.4,0.115245,0.160446
184.733,0.117994,0.159848
185.067,0.121968,0.151992
185.4,0.126272,0.1835
185.733,0.129592,0.203602
186.067,0.128993,0.178091
186.4,0.129386,0.164178
186.733,0.130529,0.141185
187.067,0.130215,0.0773375
187.4,0.131549,0.0526505
187.733,0.132057,0.0379018
188.067,0.132204,0.0362451
188.4,0.132292,0.0323557
188.733,0.134419,0.0472142
189.067,0.134305,0.0323069
189.4,0.133547,0.032856
189.733,0.139666,0.0430863
190.067,0.142849,0.0499724
190.4,0.133765,0.0454415
190.733,0.133977,0.0433893
191.067,0.136833,0.0492005
191.4,0.136355,0.0238537
191.733,0.139208,0.0423303
192.067,0.142806,0.073897
192.4,0.145415,0.0615434
192.733,0.142233,0.062184
193.067,0.143166,0.0539285
193.4,0.142233,0.0555831
193.733,0.144185,0.0673007
194.067,0.144502,0.0528601
194.4,0.143664,0.0648332
194.733,0.144322,0.0540022
195.067,0.147391,0.0559013
195.4,0.149679,0.0788681
195.733,0.154824,0.0740613
196.067,0.168912,0.055537
196.4,0.18742,0.0558733
196.733,0.206289,0.0736052
197.067,0.233932,0.0878928
197.4,0.255383,0.1032
197.733,0.284648,0.123788
198.067,0.311919,0.153868
198.4,0.329487,0.161889
198.733,0.370085,0.183606
199.067,0.387974,0.206975
199.4,0.415138,0.225586
199.733,0.473656,0.261783
200.067,0.520589,0.272655
200.4,0.573695,0.312885
200.733,0.609468,0.313751
201.067,0.66988,0.300903
201.4,0.699403,0.247078
201.733,0.746722,0.152673
202.067,0.813565,0.188885
202.4,0.787792,0.190518
202.733,0.727132,0.157516
203.067,0.71249,0.156223
203.4,0.705639,0.144565
203.733,0.731983,0.19175
204.067,0.734845,0.170033
204.4,0.736923,0.20387
204.733,0.738468,0.222098
205.067,0.756213,0.148171
205.4,0.784114,0.0943751
205.733,0.777461,0.138374
206.067,0.769286,0.120179
206.4,0.763048,0.145869
206.733,0.765227,0.142477
207.067,0.767823,0.135544
207.4,0.760554,0.100576
207.733,0.759174,0.111403
208.067,0.758932,0.129495
208.4,0.76106,0.127281
208.733,0.757725,0.0846186
209.067,0.760682,0.077526
209.4,0.754832,0.0562234
209.733,0.750994,0.0877926
210.067,0.750321,0.0734736
210.4,0.759252,0.15084
210.733,0.759768,0.0962591
211.067,0.758618,0.0995939
211.4,0.759713,0.0893481
211.733,0.759756,0.096673
212.067,0.756657,0.162016
212.4,0.75083,0.103199
212.733,0.747438,0.130293
213.067,0.746403,0.107795
213.4,0.741474,0.0937852
213.733,0.725882,0.150071
214.067,0.7221,0.0559258
214.4,0.717936,0.0585965
214.733,0.717469,0.0219151
215.067,0.7147,0.0396121
215.4,0.722586,0.0848358
215.733,0.719565,0.0390877
216.067,0.719674,0.0433777
216.4,0.71363,0.027027
216.733,0.709051,0.0285233
